Unnamed: 0,create_age(months),expiry_age(months),update_age(days),URL,Label,url_l,url_dot_qty,url_hyphen_qty,url_underline_qty,url_slash_qty,url_question_qty,url_equals_qty,url_at_qty,url_and_qty,url_exclamation_qty,url_tilde_qty,url_comma_qty,url_plus_qty,url_asterisk_qty,url_hashtag_qty,url_percent_qty,domain_length,domain_dot_qty,domain_hyphen_qty,path_length_qty,path_dot_qty,path_hyphen_qty,param_length,domain_in_ip,domain_has_client_server,domain_vowel_qty,tld_length
6644,147,9,1463,http://www.naamras.com/Dropbox/dropboxLanre/dropbox/proposal/...,,64,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,2,0,42,3,0,0,0,0,4,3
2799,226,14,8,http://hiroba.dqx.jp.izcel.usa.cc/account/app/svc/login.html...,,63,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26,5,0,30,4,0,0,0,0,7,2
203,-1,-1,-1,http://www.commence.nu/tmp/b7/...,,33,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,2,0,11,3,0,0,0,0,4,2
4643,233,7,3083,http://www.cheap-cds.com/...,,28,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,17,2,1,4,3,0,0,0,0,3,3
608,169,23,51,http://www.robertnz.net/nm_intro.htm...,,39,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,16,2,0,16,4,0,0,0,0,3,3
3820,95,1,332,http://www.soccerpie.com/man-utd-latest-news.html...,,52,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,17,2,0,28,4,3,0,0,0,5,3
3755,178,2,307,http://twoloonscoffee.com/...,,29,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,1,0,4,3,0,0,0,0,7,3
195,216,12,145,http://www.grandcanyonbiblio.org/...,,36,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,2,0,4,3,0,0,0,0,7,3
1334,186,18,186,http://www.gbradhopkins.com/...,,31,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,0,4,3,0,0,0,0,4,3
1587,-1,-1,-1,http://silveirapiresadvogados.com.br/test/confirm.php...,,56,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,2,0,20,4,0,0,0,0,11,6
2648,192,12,5836,http://www.employdiversity.com/...,,34,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,2,0,4,3,0,0,0,0,6,3
774,242,10,685,http://www.rasputinmusic.com/...,,32,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,2,0,4,3,0,0,0,0,6,3
372,-1,-1,-1,http://arcavana.com/dew/Logon.html...,,37,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,1,0,18,4,0,0,0,0,5,3
652,3,9,26,http://uwasaleh.org/View%20/gtex...,,35,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,12,1,0,16,3,0,0,0,0,5,3
3107,52,8,143,http://maintenance-server.twomini.com/ID/recovery.inc.htm...,,60,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,30,2,1,23,5,0,0,0,1,11,3
6444,165,27,936,http://www.russinoff.com/papers/gauss.html...,,45,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,2,0,21,4,0,0,0,0,4,3
2014,-1,-1,-1,http://secom.tn/wp-admin/includes/remax/remax...,,48,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,8,1,0,33,3,1,0,0,0,2,2
4353,37,11,972,http://handasapc.com/htd3.html...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,4,0,0,0,0,4,3
5170,26,10,71,http://gazianteppenye.com/lv/casts1/...,,39,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,1,0,14,3,0,0,0,0,7,3
5222,70,2,684,http://www.whippers.co.uk/...,,29,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,3,0,4,3,0,0,0,0,4,5
6013,168,12,6,http://www.databasejournal.com/...,,34,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,2,0,4,3,0,0,0,0,8,3
508,217,11,259,http://www.weddles.com/...,,26,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,2,0,4,3,0,0,0,0,3,3
6380,109,11,33,http://www.heathervictoriaheld.com/wp-includes/SimplePie/Data/2153c968...,,73,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,27,2,0,39,3,1,0,0,0,9,3
2685,226,14,8,http://secure.square.logindqxu.usa.cc/...,,41,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,4,0,4,3,0,0,0,0,11,2
5138,-1,-1,-1,http://linkage.rockefeller.edu/...,,34,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,2,0,4,3,0,0,0,0,9,3
1207,4,8,68,http://exposednaija.info/fb/mobile.html...,,42,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,1,0,18,4,0,0,0,0,8,4
476,246,78,111,http://www.bevmo.com/...,,24,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,2,0,4,3,0,0,0,0,3,3
1521,181,11,38,http://www.indiaeducationstat.com/...,,37,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,2,0,4,3,0,0,0,0,10,3
4861,-1,-1,-1,http://www.airfixcommercial.com.au/wp-admin/maint/Permissions/b/iyk/au...,,73,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,27,3,0,39,3,1,0,0,0,10,6
3220,210,30,51,http://www.fonts4teachers.com/...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,2,0,4,3,0,0,0,0,5,3
3809,228,60,1669,http://www.perfumemart.com/...,,30,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,2,0,4,3,0,0,0,0,5,3
4509,-1,-1,-1,http://4000simin.or.kr/plus/html/bookmark/ii.php?fid=4&amp;amp...,,65,6,0,0,6,1,1,0,1,0,0,0,0,0,0,0,15,2,0,26,1,0,1,0,0,3,5
917,13,-1,21,http://cosureb.com/wp-content/g8634d010eacf55520/index2.php?login&amp;...,,73,5,1,0,5,1,0,0,1,0,0,0,0,0,0,0,11,1,0,41,1,1,0,0,0,4,3
243,-1,-1,-1,http://rafagroup.es/9713tdij464dda...,,37,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,1,0,18,3,0,0,0,0,5,2
5281,35,1,347,http://recover-webs-pages.fulba.com/email.htm...,,48,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,28,2,2,13,4,0,0,0,0,9,3
2246,191,13,358,http://www.tysknews.com/Depts/gov_philosophy/phil_of_government.htm...,,70,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,16,2,0,47,4,0,0,0,0,2,3
117,236,16,663,http://www.russellstover.com/...,,32,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,2,0,4,3,0,0,0,0,5,3
3468,-1,-1,-1,http://aleph0.clarku.edu/~djoyce/mathhist/...,,45,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,17,2,0,21,3,0,0,0,0,6,3
2397,228,60,1213,http://www.powergridindia.com/...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,2,0,4,3,0,0,0,0,7,3
5773,26,10,454,http://www.indianfriedchicken.net/managment/pagedoc/1351e860932172314c...,,73,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,2,0,40,3,0,0,0,0,8,3
2552,218,58,92,http://www.hannakrausecandy.com/...,,35,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,2,0,4,3,0,0,0,0,7,3
2626,160,8,117,http://www.totalitea.com/...,,28,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,2,0,4,3,0,0,0,0,6,3
6378,-1,-1,-1,http://www.futurebookkeeping.com.au/db/Barcs/b2.htm...,,54,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,28,3,0,19,4,0,0,0,0,11,6
2521,54,6,208,http://www.bakewelltarts.co.uk/...,,34,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,3,0,4,3,0,0,0,0,6,5
984,61,11,41,http://www.brokeragelv.com/wp-content/uploads/2012/03/Zone1/...,,63,5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,19,2,0,37,3,1,0,0,0,5,3
1054,217,35,978,http://www.quia.com/jg/65626.html...,,36,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,2,0,17,4,0,0,0,0,4,3
6452,-1,-1,-1,http://www.naas.ae/acct/googledrive...,,38,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,2,0,20,3,0,0,0,0,4,2
3463,78,6,192,http://www.warlicksbc.org/wp/wp-includes/aolupdate.htm...,,57,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,18,2,0,32,4,1,0,0,0,3,3
5982,-1,-1,-1,http://www.sdk.co.jp/...,,24,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,3,0,4,3,0,0,0,0,1,5
727,154,38,691,http://people.revoledu.com/kardi/tutorial/kMean/index.html...,,61,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,19,2,0,35,4,0,0,0,0,8,3
4396,69,15,508,http://www.shelburnefallscoffee.com/...,,39,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,2,0,4,3,0,0,0,0,8,3
214,130,2,372,http://www.keltickat.net/...,,28,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,2,0,4,3,0,0,0,0,4,3
4021,147,33,80,http://kiltonmotor.com/others/m.i.php?rand=13inboxlightaspxn.177425641...,,73,7,0,0,4,1,1,0,0,0,0,0,0,0,0,0,15,1,0,15,2,0,1,0,0,5,3
1975,226,14,8,http://secure.square.login-xsey.usa.cc/...,,42,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,31,4,1,4,3,0,0,0,0,11,2
4830,240,12,11,http://www.hindustantimes.com/...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,2,0,4,3,0,0,0,0,6,3
4499,-1,9,-1,http://cges.ac.in/logo/Google/Google/dld/us/...,,47,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,2,0,30,3,0,0,0,0,3,5
2781,225,3,247,http://www.sport-it.com/...,,27,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,16,2,1,4,3,0,0,0,0,3,3
5168,204,12,25,http://agnix.sourceforge.net/...,,32,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,2,0,4,3,0,0,0,0,8,3
3477,2,9,66,http://www.stp-anp.net/SHAREDITEM/000000022222222222222222222222222222...,,73,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,15,2,1,51,3,0,0,0,0,2,3
5012,-1,-1,-1,http://warnings-system.at.ua/confirm-pages.html...,,50,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,21,2,1,22,4,1,0,0,0,6,2
2096,-1,4,-1,http://fcamin.nic.in/...,,24,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,2,0,4,3,0,0,0,0,4,6
812,234,6,187,http://www.anandabazar.com/...,,30,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,2,0,4,3,0,0,0,0,6,3
5424,-1,-1,-1,http://www.shikoku.co.jp/eng/...,,32,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,3,0,8,3,0,0,0,0,4,5
1655,226,14,8,http://secure.square.logindqx.usa.cc/...,,40,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,4,0,4,3,0,0,0,0,10,2
3388,-1,-1,-1,http://mail.sanabes.org.sa/~masseri/invoice/Ed/Ed/index.php...,,62,7,0,0,7,0,0,0,0,0,1,0,0,0,0,0,19,3,0,36,4,0,0,0,0,7,6
1869,-1,-1,-1,http://www.bnt-chemicals.de/...,,31,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,1,4,3,0,0,0,0,4,2
4991,167,1,345,http://www.allindianewspapers.com/government.html...,,52,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,2,0,19,4,0,0,0,0,8,3
3749,90,6,-1,http://www.kpvrb.ru/components/com_auto/views/ells/indexxx.htm...,,65,6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,12,2,0,46,4,0,0,0,0,1,2
891,16,20,356,http://ejvoice.com/863d7wwwww/casts/...,,39,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,1,0,21,3,0,0,0,0,5,3
5297,-1,-1,-1,http://www.cnhedge.cn/js/index.htm?http://us.battle.net/login/en/?ref=...,,73,8,0,0,9,2,1,0,0,0,0,0,0,0,0,0,14,2,0,13,1,0,1,0,0,2,2
6398,148,8,156,http://www.ilc.pl/ep/documents/document/0/9ad0d29931e8511fe5ed46e88080...,,73,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,2,0,56,3,0,0,0,0,1,2
133,180,0,370,http://www.seagullcooling.com/...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,2,0,4,3,0,0,0,0,7,3
1121,262,1,269,http://aktualizace.tripod.com/...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,2,0,4,3,0,0,0,0,9,3
3226,-1,-1,-1,http://orchidbooks.com.np/.Confirm/Paypal...,,44,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,2,0,19,4,0,0,0,0,5,6
2838,55,5,230,http://hofstetterfam.com/Scripts/an/dhl/webshipping_dhl_woko_members_m...,,73,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,17,1,0,49,3,0,0,0,0,5,3
5549,104,16,37,http://canada-hoky.890m.com/log.php...,,38,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,1,11,4,0,0,0,0,5,3
5616,142,2,465,http://www.acquiredtastetea.com/...,,35,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,2,0,4,3,0,0,0,0,9,3
4220,3,9,69,http://kathyhomeyou.com/WellsFargo...,,37,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,1,0,14,3,0,0,0,0,6,3
5790,-1,-1,-1,http://www.math.wpi.edu/IQP/BVCalcHist/calctoc.html...,,54,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,3,0,31,4,0,0,0,0,4,3
1422,129,3,332,http://www.rkfma.com/...,,24,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,2,0,4,3,0,0,0,0,2,3
5751,-1,-1,-1,http://christianphil.com/madrid/france/paris/adam/patrik/...,,60,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,1,0,36,3,0,0,0,0,5,3
1391,-1,-1,-1,http://www.math.ucla.edu/~tao/254a.1.03w/...,,44,8,0,0,5,0,0,0,0,0,1,0,0,0,0,0,17,3,0,20,5,0,0,0,0,5,3
4107,256,56,849,http://ross-and-adrians-stadium-guide.webs.com/football.htm...,,62,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,39,2,4,16,4,0,0,0,0,13,3
4431,25,11,22,http://autoservicioslubrirepuestos.com/wp-includes/widgets/Alibaba.htm...,,73,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,31,1,0,35,4,1,0,0,0,14,3
1864,36,12,11,http://www.elmonkey.com/setl.php...,,35,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,2,0,12,4,0,0,0,0,4,3
2792,72,12,30,http://alfaromedia.com/wp-content/themes/rfxzetta/zxc/ad2/yahoo/i.php?...,,73,5,1,0,9,1,0,0,0,0,0,0,0,0,0,0,15,1,0,47,1,1,0,0,0,7,3
3300,-1,5,-1,http://pmindia.gov.in/en/...,,28,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,2,0,7,3,0,0,0,0,5,6
4915,94,50,291,http://www.floralandweddingsupplies.com/...,,43,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,2,0,4,3,0,0,0,0,9,3
4632,-1,-1,-1,http://www.osti.gov/estsc/...,,29,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,2,0,10,3,0,0,0,0,3,3
5135,117,3,253,http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb/...,,73,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,1,0,50,3,0,0,0,0,5,3
4690,226,14,8,http://hiroba.dqx.jp.iuxel.usa.cc/...,,37,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,5,0,4,3,0,0,0,0,8,2
1454,-1,-1,-1,http://webmailupgradecentre.sitey.me...,,39,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,-1,-1,0,0,0,11,2
5343,-1,-1,-1,http://hiltonestates.org/...,,28,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,1,0,4,3,0,0,0,0,6,3
4619,177,3,1045,http://www.academyofdiplomacy.org/...,,37,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,2,0,4,3,0,0,0,0,8,3
2926,45,3,247,http://antoluxlda.com/Bolu/Weed/image.htm...,,44,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,1,0,23,4,0,0,0,0,5,3
123,-1,-1,-1,http://www.ibm.com/software/awdtools/hlasm/...,,46,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,2,0,28,3,0,0,0,0,2,3
6350,3,9,87,http://www.bofaealert.net/bofa/x/8a592f0467a894691798a9f35885ca8a/site...,,73,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,2,0,48,3,0,0,0,0,6,3
4692,24,24,12,http://kusifood.com/cgi-bin/Config.php...,,41,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,1,0,22,4,1,0,0,0,5,3
4604,-1,-1,-1,http://188.165.191.2/layouts/update/site/https:/www2.Santander.com.br/...,,73,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,3,0,53,6,0,0,1,0,0,0
4355,176,4,223,http://www.mbadreams.com/...,,28,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,2,0,4,3,0,0,0,0,4,3
6115,164,4,252,http://free-compilers.sharnoff.org/...,,38,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,27,2,1,4,3,0,0,0,0,8,3
4427,123,9,479,http://www.thecatlounge.com/...,,31,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,0,4,3,0,0,0,0,6,3
2248,191,25,955,http://www.kidsolr.com/math/math.html...,,40,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,2,0,18,4,0,0,0,0,3,3
1786,55,5,214,http://www.edinburghbibliographicalsociety.org.uk/...,,53,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,3,0,4,3,0,0,0,0,14,6
3098,104,16,37,http://puasa22.890m.com/privation1.php...,,41,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,2,0,18,4,0,0,0,0,4,3
6981,17,7,59,http://gaspra-life.com/administrator/manifests/libraries/secure.itunes...,,73,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,15,1,1,51,4,0,0,0,0,5,3
5113,211,5,29,http://www.job-hunt.org/...,,27,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,16,2,1,4,3,0,0,0,0,3,3
2711,-1,-1,-1,http://www-ccs.cs.umass.edu/db/organizations.html...,,52,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,20,3,1,25,4,0,0,0,0,4,3
1084,217,11,375,http://www.jobsdb.com/...,,25,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,2,0,4,3,0,0,0,0,2,3
2354,156,1,1,http://www.oldradiodoc.com/...,,30,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,2,0,4,3,0,0,0,0,6,3
3403,3,9,57,http://www.salintoshourt.com/wp-well/...,,40,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,21,2,0,12,3,1,0,0,0,6,3
6353,-1,-1,-1,http://www.google.org/...,,25,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,2,0,4,3,0,0,0,0,4,3
4780,169,11,21,http://www.bodyscentsations.com/...,,35,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,2,0,4,3,0,0,0,0,6,3
3446,-1,-1,-1,http://ventlogos.com.br/document/98f5ec52af75f2a808fc510d3bc451a6/...,,69,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,2,0,46,3,0,0,0,0,4,6
149,-1,-1,-1,http://qualyprintbh.com.br/formulario/...,,41,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,2,0,15,3,0,0,0,0,4,6
2323,36,12,8,http://www.leighgphotography.com/SERVICE/edani82ldbuizbt4gbugw2i3ls22p...,,73,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,2,0,41,3,0,0,0,0,6,3
2811,-1,-1,-1,http://www.nichuizen.co.za/errors/sess/6d9a839834ab156eac5c247efbc5af2...,,73,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,3,0,47,3,0,0,0,0,6,5
6575,-1,-1,-1,http://www.aeraria.cl/DoroWebo/ourtime.html...,,46,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,2,0,25,4,0,0,0,0,5,2
5326,149,19,753,http://m24.telemedellin.tv/aa...,,32,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,2,0,6,3,0,0,0,0,5,2
3064,156,0,138,http://eccb.net/...,,19,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,1,0,4,3,0,0,0,0,2,3
1955,7,5,74,http://www.rahimfabricators.com//fonts/AOL_Mail.htm...,,54,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,24,2,0,23,4,0,0,0,0,7,3
3096,260,4,242,http://www.pontiac.com/...,,26,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,2,0,4,3,0,0,0,0,4,3
467,-1,12,-1,http://www.usief.org.in/...,,27,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,3,0,4,3,0,0,0,0,5,6
183,187,77,245,http://en.wikipedia.org/wiki/ICC_Cricket_Code_of_Conduct...,,59,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,2,0,36,3,0,0,0,0,7,3
1417,28,8,143,http://www.razeconsulting.com/sites/kenaa/Confirmation/security/webscr...,,73,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,2,0,44,3,0,0,0,0,6,3
3642,115,77,68,http://sctry21.5gbfree.com/supportcenter/...,,44,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,2,0,18,3,0,0,0,0,3,3
1315,-1,-1,-1,http://ssl.verification.account.update.security.token.812554542376.ios...,,73,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,10,0,0,-1,-1,0,0,0,19,0
5649,-1,-1,-1,http://www.cs.unm.edu/~mccune/papers/robbins/...,,48,6,0,0,6,0,0,0,0,0,1,0,0,0,0,0,14,3,0,27,3,0,0,0,0,3,3
6227,-1,4,-1,http://results.nic.in/...,,25,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,2,0,4,3,0,0,0,0,4,6
5162,-1,-1,-1,http://wsce01-bagaliciahome-com-ar.iiioargs.com/arg/on/.scripts/homeba...,,73,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,40,2,3,26,4,0,0,0,0,16,3
6215,-1,-1,-1,http://www.futurebusinessexpo.com.au/blogger/Secured/...,,56,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,29,3,0,20,3,0,0,0,0,11,6
2061,17,7,166,http://slavkomrdalj.com/images/page...,,38,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,1,0,15,3,0,0,0,0,4,3
2135,192,11,46,http://www.farmsolution.blogspot.com/...,,40,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,3,0,4,3,0,0,0,0,8,3
5578,-1,-1,-1,http://www.americanelectric.com.br/LESS/docsexe/filewords/...,,61,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,27,3,0,27,3,0,0,0,0,8,6
1316,-1,-1,-1,http://normenpropiedades.cl/cotizacion/wp-admin/trep1/db/box...,,63,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,20,1,0,36,3,1,0,0,0,7,2
